date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-22 15:24:17,MS11440707,40707,"BARRASSO, John A.",114,Senate,(WY),Wyoming,WY,0,200,,0.528,0.226,0.769,28,501,-131.436
2017-01-22 15:24:17,MS11449706,49706,"ENZI, Michael B.",114,Senate,(WY),Wyoming,WY,0,200,,0.538,0.177,0.743,36,485,-144.249
2017-01-22 15:24:17,MS11429940,29940,"BALDWIN, Tammy",114,Senate,(WI),Wisconsin,WI,0,100,,-0.549,-0.254,0.807,23,502,-107.933
2017-01-22 15:24:17,MS11441111,41111,"JOHNSON, Ron",114,Senate,(WI),Wisconsin,WI,0,200,,0.596,-0.335,0.767,34,486,-128.879
2017-01-22 15:24:17,MS11420146,20146,"CAPITO, Shelley Moore",114,Senate,(WV),West Virginia,WV,0,200,,0.257,0.052,0.75,33,498,-143.218
2017-01-22 15:24:17,MS11440915,40915,"MANCHIN, Joe, III",114,Senate,(WV),West Virginia,WV,0,100,,-0.063,0.442,0.641,66,493,-219.097
2017-01-22 15:24:17,MS11449308,49308,"MURRAY, Patty",114,Senate,(WA),Washington,WA,0,100,,-0.341,-0.294,0.81,27,496,-104.387
2017-01-22 15:24:17,MS11439310,39310,"CANTWELL, Maria E.",114,Senate,(WA),Washington,WA,0,100,,-0.286,-0.402,0.815,21,502,-102.669
2017-01-22 15:24:17,MS11440909,40909,"WARNER, Mark",114,Senate,(VA),Virginia,VA,0,100,,-0.203,-0.042,0.755,41,466,-130.982
2017-01-22 15:24:17,MS11441305,41305,"KAINE, Timothy Michael (Tim)",114,Senate,(VA),Virginia,VA,0,100,,-0.226,-0.129,0.777,36,486,-122.685
2017-01-22 15:24:17,MS11414307,14307,"LEAHY, Patrick Joseph",114,Senate,(VT),Vermont,VT,0,100,,-0.376,-0.137,0.814,22,494,-101.395
2017-01-22 15:24:17,MS11429147,29147,"SANDERS, Bernard",114,Senate,(VT),Vermont,VT,0,328,,-0.508,-0.309,0.752,31,359,-102.534
2017-01-22 15:24:17,MS11414503,14503,"HATCH, Orrin Grant",114,Senate,(UT),Utah,UT,0,200,,0.382,-0.006,0.763,28,498,-134.784
2017-01-22 15:24:17,MS11441110,41110,"LEE, Mike",114,Senate,(UT),Utah,UT,0,200,,0.919,-0.394,0.648,70,466,-202.185
2017-01-22 15:24:17,MS11441304,41304,"CRUZ, Rafael Edward (Ted)",114,Senate,(TX),Texas,TX,0,200,,0.889,-0.42,0.673,50,340,-134.594
2017-01-22 15:24:17,MS11440305,40305,"CORNYN, John",114,Senate,(TX),Texas,TX,0,200,,0.498,-0.018,0.775,30,493,-125.622
2017-01-22 15:24:17,MS11440304,40304,"ALEXANDER, Lamar",114,Senate,(TN),Tennessee,TN,0,200,,0.323,-0.186,0.724,39,488,-157.528
2017-01-22 15:24:17,MS11440705,40705,"CORKER, Robert (Bob)",114,Senate,(TN),Tennessee,TN,0,200,,0.391,-0.32,0.698,48,488,-175.535
2017-01-22 15:24:17,MS11441505,41505,"ROUNDS, Marion Michael (Mike)",114,Senate,(SD),South Dakota,SD,0,200,,0.382,0.027,0.783,17,495,-121.325
2017-01-22 15:24:17,MS11429754,29754,"THUNE, John",114,Senate,(SD),South Dakota,SD,0,200,,0.409,0.125,0.779,35,498,-124.443
2017-01-22 15:24:17,MS11429566,29566,"GRAHAM, Lindsey O.",114,Senate,(SC),South Carolina,SC,0,200,,0.409,-0.174,0.718,40,379,-125.713
