date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-03 12:30:56,RS1150001,115,Senate,1,2017-01-04,,On the Motion to Proceed,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,48,,,,,,-0.099,0.995,-0.362,-0.305,0.958,0.98,-6.762,0.934
2017-02-03 12:30:56,RS1150002,115,Senate,2,2017-01-05,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,52,,,,,,0.033,-0.131,0.676,-0.569,1.0,1.0,-0.146,0.999
2017-02-03 12:30:56,RS1150003,115,Senate,3,2017-01-09,,On the Amendment,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,14,83,,,,,,0.688,-0.725,-0.521,-0.387,0.429,0.918,-14.301,0.863
2017-02-03 12:30:56,RS1150004,115,Senate,4,2017-01-09,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,47,,,,,,-0.081,0.997,0.653,0.78,0.979,0.99,-4.563,0.954
2017-02-03 12:30:56,RS1150005,115,Senate,5,2017-01-10,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,31,67,,,,,,-0.31,-0.951,-0.242,0.983,0.387,0.806,-30.017,0.736
2017-02-03 12:30:56,RS1150006,115,Senate,6,2017-01-10,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,49,,,,,,0.129,-0.139,0.697,0.35,1.0,1.0,-0.6,0.994
2017-02-03 12:30:56,RS1150007,115,Senate,7,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,47,51,,,,,,0.033,-0.13,0.676,-0.57,1.0,1.0,-0.145,0.999
2017-02-03 12:30:56,RS1150008,115,Senate,8,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,50,,,,,,0.129,-0.139,0.697,0.35,1.0,1.0,-0.6,0.994
2017-02-03 12:30:56,RS1150009,115,Senate,9,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.033,-0.13,-0.676,0.57,1.0,1.0,-0.145,0.999
2017-02-03 12:30:56,RS1150010,115,Senate,10,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.002,1.0,0.785,0.894,0.915,0.959,-8.256,0.919
